Date,Open,Adj Close
2020-03-01,5.75,5.75
2020-03-02,5.75,6.9
2020-03-03,6.9,6.46
2020-03-04,6.46,6.46
2020-03-05,6.46,6.46
2020-03-06,6.46,5.31
2020-03-07,5.31,5.12
2020-03-08,5.12,6.73
2020-03-09,6.73,6.2
2020-03-10,6.2,6.42
2020-03-11,6.42,6.42
2020-03-12,6.42,6.42
2020-03-13,6.42,6.66
2020-03-14,6.66,5.42
2020-03-15,5.42,5.36
2020-03-16,5.36,5.37
2020-03-17,5.37,5.61
2020-03-18,5.61,5.61
2020-03-19,5.61,5.61
2020-03-20,5.61,5.58
2020-03-21,5.58,6.22
2020-03-22,6.22,5.28
2020-03-23,5.28,5.58
2020-03-24,5.58,5.73
2020-03-25,5.73,5.73
2020-03-26,5.73,5.73
2020-03-27,5.73,5.4
2020-03-28,5.4,6.03
2020-03-29,6.03,6.18
2020-03-30,6.18,5.09
2020-03-31,5.09,6.22
