Date,Open,Close Adj
2023-03-01,8.37,8.37
2023-03-02,8.37,8.95
2023-03-03,8.95,8.73
2023-03-04,8.73,8.73
2023-03-05,8.73,8.73
2023-03-06,8.73,8.16
2023-03-07,8.16,8.06
2023-03-08,8.06,8.87
2023-03-09,8.87,8.6
2023-03-10,8.6,8.71
2023-03-11,8.71,8.71
2023-03-12,8.71,8.71
2023-03-13,8.71,8.83
2023-03-14,8.83,8.21
2023-03-15,8.21,8.18
2023-03-16,8.18,8.18
2023-03-17,8.18,8.3
2023-03-18,8.3,8.3
2023-03-19,8.3,8.3
2023-03-20,8.3,8.29
2023-03-21,8.29,8.61
2023-03-22,8.61,8.14
2023-03-23,8.14,8.29
2023-03-24,8.29,8.37
2023-03-25,8.37,8.37
2023-03-26,8.37,8.37
2023-03-27,8.37,8.2
2023-03-28,8.2,8.51
2023-03-29,8.51,8.59
2023-03-30,8.59,8.05
2023-03-31,8.05,8.61
