Date,Open,Adj Close
2020-03-01,4.12,4.12
2020-03-02,4.12,5.85
2020-03-03,5.85,5.2
2020-03-04,5.2,5.2
2020-03-05,5.2,5.2
2020-03-06,5.2,3.47
2020-03-07,3.47,3.17
2020-03-08,3.17,5.6
2020-03-09,5.6,4.8
2020-03-10,4.8,5.12
2020-03-11,5.12,5.12
2020-03-12,5.12,5.12
2020-03-13,5.12,5.5
2020-03-14,5.5,3.64
2020-03-15,3.64,3.55
2020-03-16,3.55,3.55
2020-03-17,3.55,3.91
2020-03-18,3.91,3.91
2020-03-19,3.91,3.91
2020-03-20,3.91,3.87
2020-03-21,3.87,4.84
2020-03-22,4.84,3.42
2020-03-23,3.42,3.88
2020-03-24,3.88,4.1
2020-03-25,4.1,4.1
2020-03-26,4.1,4.1
2020-03-27,4.1,3.6
2020-03-28,3.6,4.54
2020-03-29,4.54,4.78
2020-03-30,4.78,3.14
2020-03-31,3.14,4.82
