Date,Open,Close Adj
2023-03-01,8.12,8.12
2023-03-02,8.12,9.85
2023-03-03,9.85,9.2
2023-03-04,9.2,9.2
2023-03-05,9.2,9.2
2023-03-06,9.2,7.47
2023-03-07,7.47,7.17
2023-03-08,7.17,9.6
2023-03-09,9.6,8.8
2023-03-10,8.8,9.12
2023-03-11,9.12,9.12
2023-03-12,9.12,9.12
2023-03-13,9.12,9.5
2023-03-14,9.5,7.64
2023-03-15,7.64,7.55
2023-03-16,7.55,7.55
2023-03-17,7.55,7.91
2023-03-18,7.91,7.91
2023-03-19,7.91,7.91
2023-03-20,7.91,7.87
2023-03-21,7.87,8.84
2023-03-22,8.84,7.42
2023-03-23,7.42,7.88
2023-03-24,7.88,8.1
2023-03-25,8.1,8.1
2023-03-26,8.1,8.1
2023-03-27,8.1,7.6
2023-03-28,7.6,8.54
2023-03-29,8.54,8.78
2023-03-30,8.78,7.14
2023-03-31,7.14,8.82
