Date,Open,Close Adj
2023-03-01,10.52,10.65
2023-03-02,10.65,10.70
2023-03-03,10.70,10.68
2023-03-04,10.68,10.68
2023-03-05,10.68,10.68
2023-03-06,10.68,10.75
2023-03-07,10.75,10.72
2023-03-08,10.72,10.74
2023-03-09,10.74,10.80
2023-03-10,10.80,10.85
2023-03-11,10.85,10.85
2023-03-12,10.85,10.85
2023-03-13,10.85,10.90
2023-03-14,10.90,10.87
2023-03-15,10.87,10.93
2023-03-16,10.93,10.95
2023-03-17,10.95,11.00
2023-03-18,11.00,11.00
2023-03-19,11.00,11.00
2023-03-20,11.00,10.98
2023-03-21,10.98,11.02
2023-03-22,11.02,11.05
2023-03-23,11.05,11.08
2023-03-24,11.08,11.12
2023-03-25,11.12,11.12
2023-03-26,11.12,11.12
2023-03-27,11.12,11.15
2023-03-28,11.15,11.18
2023-03-29,11.18,11.20
2023-03-30,11.20,11.25
2023-03-31,11.25,11.30
