Date,Open,Close Adj
2023-03-01,6.75,6.75
2023-03-02,6.75,7.9
2023-03-03,7.9,7.46
2023-03-04,7.46,7.46
2023-03-05,7.46,7.46
2023-03-06,7.46,6.31
2023-03-07,6.31,6.12
2023-03-08,6.12,7.73
2023-03-09,7.73,7.2
2023-03-10,7.2,7.42
2023-03-11,7.42,7.42
2023-03-12,7.42,7.42
2023-03-13,7.42,7.66
2023-03-14,7.66,6.42
2023-03-15,6.42,6.36
2023-03-16,6.36,6.37
2023-03-17,6.37,6.61
2023-03-18,6.61,6.61
2023-03-19,6.61,6.61
2023-03-20,6.61,6.58
2023-03-21,6.58,7.22
2023-03-22,7.22,6.28
2023-03-23,6.28,6.58
2023-03-24,6.58,6.73
2023-03-25,6.73,6.73
2023-03-26,6.73,6.73
2023-03-27,6.73,6.4
2023-03-28,6.4,7.03
2023-03-29,7.03,7.18
2023-03-30,7.18,6.09
2023-03-31,6.09,7.22
