Date,Open,Close Adj
2020-03-01,3.37,3.37
2020-03-02,3.37,3.95
2020-03-03,3.95,3.73
2020-03-04,3.73,3.73
2020-03-05,3.73,3.73
2020-03-06,3.73,3.16
2020-03-07,3.16,3.06
2020-03-08,3.06,3.87
2020-03-09,3.87,3.6
2020-03-10,3.6,3.71
2020-03-11,3.71,3.71
2020-03-12,3.71,3.71
2020-03-13,3.71,3.83
2020-03-14,3.83,3.21
2020-03-15,3.21,3.18
2020-03-16,3.18,3.18
2020-03-17,3.18,3.3
2020-03-18,3.3,3.3
2020-03-19,3.3,3.3
2020-03-20,3.3,3.29
2020-03-21,3.29,3.61
2020-03-22,3.61,3.14
2020-03-23,3.14,3.29
2020-03-24,3.29,3.37
2020-03-25,3.37,3.37
2020-03-26,3.37,3.37
2020-03-27,3.37,3.2
2020-03-28,3.2,3.51
2020-03-29,3.51,3.59
2020-03-30,3.59,3.05
2020-03-31,3.05,3.61
