Date,Open,Close Adj
2023-03-01,5.12,5.12
2023-03-02,5.12,6.85
2023-03-03,6.85,6.2
2023-03-04,6.2,6.2
2023-03-05,6.2,6.2
2023-03-06,6.2,4.47
2023-03-07,4.47,4.17
2023-03-08,4.17,6.6
2023-03-09,6.6,5.8
2023-03-10,5.8,6.12
2023-03-11,6.12,6.12
2023-03-12,6.12,6.12
2023-03-13,6.12,6.5
2023-03-14,6.5,4.64
2023-03-15,4.64,4.55
2023-03-16,4.55,4.55
2023-03-17,4.55,4.91
2023-03-18,4.91,4.91
2023-03-19,4.91,4.91
2023-03-20,4.91,4.87
2023-03-21,4.87,5.84
2023-03-22,5.84,4.42
2023-03-23,4.42,4.88
2023-03-24,4.88,5.1
2023-03-25,5.1,5.1
2023-03-26,5.1,5.1
2023-03-27,5.1,4.6
2023-03-28,4.6,5.54
2023-03-29,5.54,5.78
2023-03-30,5.78,4.14
2023-03-31,4.14,5.82
